name,shot_made_flag,shot_type,shot_distance,x,y
DeMar DeRozan,0,2PT Field Goal,17,42,170
DeMar DeRozan,0,2PT Field Goal,9,92,-14
DeMar DeRozan,0,2PT Field Goal,16,-161,-10
DeMar DeRozan,0,2PT Field Goal,12,18,119
DeMar DeRozan,0,3PT Field Goal,23,234,1
DeMar DeRozan,0,2PT Field Goal,14,-141,15
DeMar DeRozan,0,2PT Field Goal,15,-153,45
DeMar DeRozan,0,2PT Field Goal,21,48,205
DeMar DeRozan,0,3PT Field Goal,25,-142,216
DeMar DeRozan,0,2PT Field Goal,16,-164,26
DeMar DeRozan,0,2PT Field Goal,17,-19,173
DeMar DeRozan,0,2PT Field Goal,15,-152,12
DeMar DeRozan,0,2PT Field Goal,17,-116,127
DeMar DeRozan,0,2PT Field Goal,19,97,165
DeMar DeRozan,0,2PT Field Goal,19,-171,85
DeMar DeRozan,0,2PT Field Goal,21,121,172
DeMar DeRozan,0,2PT Field Goal,17,-16,179
DeMar DeRozan,0,2PT Field Goal,14,-141,30
DeMar DeRozan,0,2PT Field Goal,20,122,159
DeMar DeRozan,0,2PT Field Goal,18,141,124
DeMar DeRozan,0,2PT Field Goal,20,-202,56
DeMar DeRozan,0,2PT Field Goal,21,48,206
DeMar DeRozan,0,3PT Field Goal,23,-234,-16
DeMar DeRozan,0,2PT Field Goal,20,206,-3
DeMar DeRozan,0,2PT Field Goal,15,-105,118
DeMar DeRozan,0,2PT Field Goal,21,136,162
DeMar DeRozan,0,2PT Field Goal,21,-130,165
DeMar DeRozan,0,2PT Field Goal,16,-43,159
DeMar DeRozan,0,3PT Field Goal,24,-136,209
DeMar DeRozan,0,2PT Field Goal,16,-152,69
DeMar DeRozan,0,2PT Field Goal,14,73,129
DeMar DeRozan,0,2PT Field Goal,17,-75,159
DeMar DeRozan,0,2PT Field Goal,15,152,26
DeMar DeRozan,0,2PT Field Goal,17,176,-16
DeMar DeRozan,0,2PT Field Goal,19,39,195
DeMar DeRozan,0,2PT Field Goal,13,72,110
DeMar DeRozan,0,2PT Field Goal,17,-141,96
DeMar DeRozan,0,2PT Field Goal,15,151,3
DeMar DeRozan,0,2PT Field Goal,19,-46,192
DeMar DeRozan,0,2PT Field Goal,19,190,3
DeMar DeRozan,0,2PT Field Goal,7,65,44
DeMar DeRozan,0,2PT Field Goal,18,-152,107
DeMar DeRozan,1,2PT Field Goal,17,157,86
DeMar DeRozan,0,2PT Field Goal,17,171,-2
